comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
138,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
139,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
140,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
141,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
142,0.01,0.11,0.01,0.21,0.01,0.01,0.61,0.01,0.01,0.01
143,0.037931034,0.003448276,0.003448276,0.003448276,0.072413793,0.003448276,0.003448276,0.382758621,0.003448276,0.486206897
144,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
145,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.42,0.02
146,0.366666667,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
147,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.871428571,0.014285714,0.014285714
148,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
149,0.004347826,0.004347826,0.004347826,0.004347826,0.526086957,0.17826087,0.091304348,0.091304348,0.004347826,0.091304348
150,0.0125,0.1375,0.1375,0.0125,0.0125,0.0125,0.0125,0.5125,0.0125,0.1375
151,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.71,0.01,0.01
152,0.006666667,0.006666667,0.006666667,0.006666667,0.273333333,0.006666667,0.006666667,0.673333333,0.006666667,0.006666667
153,0.004347826,0.004347826,0.22173913,0.004347826,0.004347826,0.004347826,0.22173913,0.526086957,0.004347826,0.004347826
154,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7
155,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775
156,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667
157,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333
158,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667
159,0.728571429,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.157142857
160,0.025,0.025,0.025,0.025,0.025,0.525,0.275,0.025,0.025,0.025
161,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
162,0.025,0.025,0.525,0.025,0.025,0.025,0.275,0.025,0.025,0.025
163,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
164,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
165,0.016666667,0.016666667,0.016666667,0.016666667,0.85,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
166,0.02,0.02,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.42
167,0.1375,0.1375,0.0125,0.0125,0.0125,0.1375,0.0125,0.0125,0.0125,0.5125
168,0.3875,0.0125,0.0125,0.0125,0.2625,0.0125,0.0125,0.0125,0.2625,0.0125
169,0.014285714,0.014285714,0.3,0.014285714,0.014285714,0.014285714,0.585714286,0.014285714,0.014285714,0.014285714
170,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333
171,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.54,0.006666667,0.406666667,0.006666667,0.006666667
172,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.683333333,0.016666667,0.183333333
173,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.42
174,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.525
175,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05
176,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02
177,0.014285714,0.014285714,0.014285714,0.3,0.014285714,0.585714286,0.014285714,0.014285714,0.014285714,0.014285714
178,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.42,0.02,0.02
179,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
180,0.008333333,0.008333333,0.008333333,0.008333333,0.008333333,0.091666667,0.008333333,0.425,0.425,0.008333333
181,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02
182,0.42,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.02,0.02
183,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.525
184,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
185,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55
186,0.1375,0.0125,0.2625,0.0125,0.0125,0.0125,0.5125,0.0125,0.0125,0.0125
187,0.5125,0.0125,0.0125,0.0125,0.0125,0.1375,0.0125,0.2625,0.0125,0.0125
188,0.009090909,0.372727273,0.1,0.009090909,0.1,0.009090909,0.009090909,0.372727273,0.009090909,0.009090909
189,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82
190,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.183333333,0.016666667,0.683333333
191,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
192,0.01,0.01,0.21,0.01,0.01,0.01,0.31,0.01,0.41,0.01
193,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05
194,0.21,0.01,0.01,0.11,0.01,0.01,0.61,0.01,0.01,0.01
195,0.016666667,0.016666667,0.016666667,0.35,0.016666667,0.183333333,0.35,0.016666667,0.016666667,0.016666667
196,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55
197,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.233333333,0.677777778,0.011111111,0.011111111,0.011111111
198,0.009090909,0.009090909,0.372727273,0.463636364,0.009090909,0.009090909,0.009090909,0.1,0.009090909,0.009090909
199,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
200,0.014285714,0.3,0.3,0.014285714,0.014285714,0.014285714,0.3,0.014285714,0.014285714,0.014285714
201,0.016666667,0.35,0.016666667,0.016666667,0.016666667,0.016666667,0.183333333,0.35,0.016666667,0.016666667
202,0.01,0.01,0.11,0.01,0.61,0.01,0.01,0.01,0.01,0.21
203,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05
204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
205,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
