comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
119,4.39E-03,1.36E-01,2.24E-01,4.39E-03,4.39E-03,5.75E-01,4.39E-03,4.82E-02
120,2.42E-01,7.81E-03,3.20E-01,1.64E-01,7.81E-03,7.81E-03,7.81E-03,2.42E-01
121,3.24E-01,1.65E-01,5.32E-03,5.32E-03,5.85E-02,5.32E-03,2.18E-01,2.18E-01
122,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01,1.25E-01
123,1.28E-02,1.28E-02,1.41E-01,1.28E-02,1.28E-02,1.28E-02,7.82E-01,1.28E-02
124,9.26E-03,9.26E-03,9.26E-03,1.94E-01,1.94E-01,5.65E-01,9.26E-03,9.26E-03
125,3.37E-01,6.49E-02,1.28E-01,2.09E-03,2.74E-01,1.49E-01,4.39E-02,2.09E-03
126,4.68E-01,5.15E-02,2.97E-01,1.25E-01,2.70E-02,2.70E-02,2.45E-03,2.45E-03
127,2.39E-01,1.14E-02,5.80E-01,1.14E-02,1.14E-02,1.25E-01,1.14E-02,1.14E-02
128,7.81E-03,7.81E-03,4.77E-01,7.81E-03,7.81E-03,3.20E-01,8.59E-02,8.59E-02
129,5.53E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02
130,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,8.79E-01,1.72E-02,1.72E-02
131,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
132,1.72E-02,3.62E-01,1.72E-02,1.72E-02,1.72E-02,3.62E-01,1.90E-01,1.72E-02
133,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02,5.53E-01,2.63E-02,2.63E-02
134,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02,3.57E-02
135,4.81E-03,4.81E-03,4.81E-03,4.81E-03,4.81E-03,4.38E-01,4.81E-03,5.34E-01
136,1.02E-02,1.02E-02,1.02E-02,2.14E-01,1.02E-02,1.02E-02,7.24E-01,1.02E-02
137,3.47E-03,3.47E-03,3.82E-02,2.81E-01,7.29E-02,5.94E-01,3.47E-03,3.47E-03
138,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02
